Location,Employer,Non-Group,Medicaid,Medicare,Other Public,Uninsured,Total
Alabama,0.46,0.06,0.21,0.16,0.02,0.1,1
Alaska,0.45,0.03,0.22,0.09,0.07,0.14,1
Arizona,0.45,0.06,0.22,0.15,0.02,0.1,1
Arkansas,0.42,0.06,0.27,0.16,0.02,0.08,1
California,0.47,0.07,0.26,0.11,0.01,0.07,1
Colorado,0.51,0.08,0.2,0.12,0.02,0.08,1
Connecticut,0.54,0.06,0.2,0.14,0.01,0.06,1
Delaware,0.53,0.05,0.18,0.17,0.02,0.06,1
District of Columbia,0.53,0.06,0.28,0.08,0.01,0.04,1
Florida,0.4,0.1,0.19,0.17,0.02,0.13,1
Georgia,0.49,0.07,0.17,0.12,0.02,0.13,1
Hawaii,0.54,0.05,0.18,0.15,0.05,0.04,1
Idaho,0.47,0.1,0.18,0.14,0.02,0.11,1
Illinois,0.53,0.06,0.2,0.13,0.01,0.07,1
Indiana,0.53,0.05,0.18,0.14,0.01,0.08,1
Iowa,0.55,0.07,0.18,0.15,0.01,0.04,1
Kansas,0.55,0.07,0.14,0.14,0.03,0.09,1
Kentucky,0.46,0.05,0.27,0.15,0.01,0.06,1
Louisiana,0.44,0.06,0.28,0.13,0.02,0.08,1
Maine,0.49,0.07,0.18,0.17,0.02,0.08,1
Maryland,0.56,0.06,0.18,0.12,0.02,0.06,1
Massachusetts,0.55,0.05,0.24,0.13,0.01,0.03,1
Michigan,0.51,0.05,0.22,0.15,0.01,0.05,1
Minnesota,0.57,0.06,0.17,0.14,0.01,0.05,1
Mississippi,0.42,0.06,0.24,0.13,0.02,0.12,1
Missouri,0.52,0.07,0.15,0.16,0.02,0.09,1
Montana,0.44,0.09,0.19,0.16,0.02,0.09,1
Nebraska,0.56,0.08,0.13,0.13,0.02,0.09,1
Nevada,0.49,0.05,0.19,0.14,0.02,0.11,1
New Hampshire,0.57,0.06,0.14,0.17,0.01,0.06,1
New Jersey,0.56,0.06,0.17,0.13,0.01,0.08,1
New Mexico,0.36,0.05,0.34,0.14,0.02,0.09,1
New York,0.49,0.06,0.26,0.12,0.01,0.06,1
North Carolina,0.46,0.07,0.18,0.15,0.03,0.11,1
North Dakota,0.58,0.09,0.11,0.13,0.02,0.08,1
Ohio,0.52,0.05,0.21,0.15,0.01,0.06,1
Oklahoma,0.45,0.06,0.18,0.15,0.02,0.14,1
Oregon,0.47,0.07,0.23,0.15,0.01,0.07,1
Pennsylvania,0.52,0.06,0.2,0.16,0.01,0.06,1
Rhode Island,0.51,0.06,0.24,0.14,0.01,0.05,1
South Carolina,0.45,0.06,0.19,0.16,0.02,0.11,1
South Dakota,0.52,0.09,0.14,0.14,0.02,0.09,1
Tennessee,0.48,0.06,0.21,0.15,0.02,0.09,1
Texas,0.48,0.06,0.17,0.1,0.02,0.17,1
Utah,0.6,0.09,0.11,0.1,0.01,0.09,1
Vermont,0.46,0.05,0.28,0.16,0.01,0.04,1
Virginia,0.54,0.07,0.12,0.14,0.05,0.09,1
Washington,0.52,0.06,0.21,0.13,0.02,0.06,1
West Virginia,0.43,0.04,0.28,0.18,0.01,0.06,1
Wisconsin,0.57,0.06,0.17,0.15,0.01,0.05,1
Wyoming,0.52,0.07,0.13,0.14,0.02,0.12,1
Puerto Rico,0.23,0.09,0.47,0.14,0.01,0.07,1
